date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:29:26	89/89	---M--	200	added ('OK')	text/plain	etag:%227fcfd7944a4cd7e07ccc3f36f1b91217%22	http://192.168.99.100:32770/robots.txt		(from )
11:29:27	8354/8354	---MCZ	200	added ('OK')	text/html	etag:W/%2220a2-mHeK02PMJ/EGdPEb2cAfKQbB4Wg%22	http://192.168.99.100:32770/	192.168.99.100_32770/index.html	(from )
11:29:27	35697/35697	---MCZ	200	added ('OK')	text/css	etag:W/%228b71-7438674ba0%22	http://192.168.99.100:32770/assets/built/screen.css?v=cb2044d874	192.168.99.100_32770/assets/built/screen0e5e.css	(from http://192.168.99.100:32770/)
11:29:28	34494/34494	---MCZ	200	added ('OK')	image/x-icon	etag:%2236e47e74810a0d8c32a77f495c49cf8e%22	http://192.168.99.100:32770/favicon.ico	192.168.99.100_32770/favicon.ico	(from http://192.168.99.100:32770/)
11:29:29	744/744	---M--	200	added ('OK')	application/javascript	etag:%22c23dcab4e50ca2240cad1c2990d7b0fa%22	http://192.168.99.100:32770/public/ghost-sdk.min.js?v=cb2044d874	192.168.99.100_32770/public/ghost-sdk.min0e5e.js	(from http://192.168.99.100:32770/)
11:29:30	1912/1912	---MCZ	200	added ('OK')	application/javascript	etag:W/%22778-7438674ba0%22	http://192.168.99.100:32770/assets/built/jquery.fitvids.js?v=cb2044d874	192.168.99.100_32770/assets/built/jquery.fitvids0e5e.js	(from http://192.168.99.100:32770/)
11:29:31	1089/1089	---MCZ	200	added ('OK')	application/javascript	etag:W/%22441-7438674ba0%22	http://192.168.99.100:32770/assets/built/infinitescroll.js?v=cb2044d874	192.168.99.100_32770/assets/built/infinitescroll0e5e.js	(from http://192.168.99.100:32770/)
11:29:33	18149/18149	---MCZ	200	added ('OK')	text/html	etag:W/%2246e5-Qh9cfX8adJE42TxPZxo4q6EC8dc%22	http://192.168.99.100:32770/ansible-inventory-from-netbox/	192.168.99.100_32770/ansible-inventory-from-netbox/index.html	(from http://192.168.99.100:32770/)
11:29:33	13153/13153	---MCZ	200	added ('OK')	text/html	etag:W/%223361-v8JmbcPPaui/fQGtdVIXS7aUFxQ%22	http://192.168.99.100:32770/ansible-golden-image-config-replacements/	192.168.99.100_32770/ansible-golden-image-config-replacements/index.html	(from http://192.168.99.100:32770/)
11:29:34	8238/8238	---MCZ	200	added ('OK')	text/html	etag:W/%22202e-HTca6ZL4Tbz1DEaUgBgczMJhAcQ%22	http://192.168.99.100:32770/author/daniel/	192.168.99.100_32770/author/daniel/index.html	(from http://192.168.99.100:32770/)
